Sr No,Name of Institute,Institute Type,Branch,Admission Category,Quota,First Admitted DDCET Marks,First Admitted DDCET Rank,Last Admitted DDCET Marks,Last Admitted DDCET Rank
1149,"SSNPITR, Umrakh",SFI,Computer Science & Engg,OP,Home State,92,2797,23,16712
1150,"SSNPITR, Umrakh",SFI,Computer Science & Engg,TF,Home State,96.5,2377,96.5,2377
1151,"Subhash, Junagadh",SFI,Electrical Engg.,OP,Home State,46.5,12266,46.5,12266
1152,"Subhash, Junagadh",SFI,Mechanical Engg.,TF,Home State,85,3522,85,3522
1153,"Subhash, Junagadh",SFI,Computer Science & Engg,OP,Home State,61,8065,61,8065
1154,"Subhash, Junagadh",SFI,Computer Science & Engg,TF,Home State,103.5,1829,103.5,1829
1155,"SVBIT, Unava",SFI,Civil Engg.,OP,Home State,87,3276,33.5,15517
1156,"SVBIT, Unava",SFI,Computer Engg.,OP,Home State,109.5,1467,27.5,16366
1157,"SVBIT, Unava",SFI,Computer Engg.,TF,Home State,119.5,1024,119.5,1024
1158,"SVBIT, Unava",SFI,Electrical Engg.,OP,Home State,72,5547,56.5,9365
1159,"SVBIT, Unava",SFI,Information Tech.,OP,Home State,59.5,8617,59.5,8617
1160,"SVMIT, Bharuch",SFI,Electrical Engg.,OP,Home State,78,4449,32.5,15722
1161,"SVMIT, Bharuch",SFI,Information Tech.,OP,Home State,91.5,2817,68,6340
1162,"SVMIT, Bharuch",SFI,Information Tech.,TF,Home State,123.5,865,123.5,865
1163,"SVMIT, Bharuch",SFI,Mechanical Engg.,OP,Home State,19,16988,19,16988
1164,"SVMIT, Bharuch",SFI,Chemical Engg.,OP,Home State,100,2090,14,17153
1165,"SVMIT, Bharuch",SFI,Computer Science & Engg,OP,Home State,103.5,1828,25,16631
1166,"SVIT, Vasad",SFI,Civil Engg.,OP,Home State,57,9301,27.5,16382
1167,"SVIT, Vasad",SFI,Computer Engg.,EW,Home State,118.5,1069,116,1182
1168,"SVIT, Vasad",SFI,Computer Engg.,OP,Home State,163,71,121.5,946
1169,"SVIT, Vasad",SFI,Computer Engg.,SC,Home State,99,2205,99,2205
1170,"SVIT, Vasad",SFI,Computer Engg.,SE,Home State,105,1739,89.5,3014
1171,"SVIT, Vasad",SFI,Electrical Engg.,OP,Home State,101.5,1982,49,11580
1172,"SVIT, Vasad",SFI,Information Tech.,EW,Home State,93,2687,91.5,2824
1173,"SVIT, Vasad",SFI,Information Tech.,OP,Home State,125.5,803,101.5,1972
1174,"SVIT, Vasad",SFI,Information Tech.,SC,Home State,108,1553,108,1553
1175,"SVIT, Vasad",SFI,Information Tech.,SE,Home State,83.5,3694,76.5,4761
1176,"SVIT, Vasad",SFI,Information Tech.,ST,Home State,52.5,10641,52.5,10641
1177,"SVIT, Vasad",SFI,Information Tech.,TF,Home State,144,332,144,332
1178,"SVIT, Vasad",SFI,Mechanical Engg.,OP,Home State,94,2596,38,14568
1179,"SVIT, Vasad",SFI,Mechanical Engg.,TF,Home State,82,3927,82,3927
1180,"SVIT, Vasad",SFI,Aeronautical Engg.,OP,Home State,53.5,10225,53.5,10225
1181,"SVIT, Vasad",SFI,EC Engg.,TF,Home State,42.5,13332,42.5,13332
1182,"SVIT, Vasad",SFI,CS & Design,EW,Home State,58.5,8840,58.5,8840
1183,"SVIT, Vasad",SFI,CS & Design,OP,Home State,110.5,1404,90.5,2912
1184,"SVIT, Vasad",SFI,CS & Design,SC,Home State,67.5,6564,67.5,6564
1185,"SVIT, Vasad",SFI,CS & Design,SE,Home State,67,6626,54,10128
1186,"SVIT, Vasad",SFI,CS & Design,TF,Home State,138.5,443,138.5,443
1187,"Swarrnim, Bhoyan",SFI,Computer Engg.,OP,Home State,66,6865,53,10337
1188,"Swarrnim, Bhoyan",SFI,Information Tech.,OP,Home State,41,13860,41,13860
1189,"Swarrnim, Bhoyan",SFI,Automobile Engg.,TF,Home State,49.5,11533,49.5,11533
1190,"Swarrnim, Bhoyan",SFI,Artificial Intelligence,OP,Home State,50.5,11022,50.5,11022
1191,"Unitedworld, Uvarsad",SFI,Computer Science & Engg,OP,Home State,118.5,1057,89.5,2995
1192,"Unitedworld, Uvarsad",SFI,Computer Science & Engg,SE,Home State,83,3752,83,3752
1193,"Unitedworld, Uvarsad",SFI,Computer Science & Engg,TF,Home State,127,745,127,745
1194,"Unitedworld, Uvarsad",SFI,CSE (AI And Machine Learning),OP,Home State,118,1080,73.5,5284
1195,"Unitedworld, Uvarsad",SFI,CSE (AI And Machine Learning),SC,Home State,64.5,7261,64.5,7261
1196,"Veerayatan,  Mandvi",SFI,Computer Engg.,OP,Home State,64,7325,64,7325
1197,"Veerayatan,  Mandvi",SFI,Electrical Engg.,OP,Home State,54.5,10016,54,10065
1198,"Veerayatan,  Mandvi",SFI,Mechanical Engg.,OP,Home State,54,10104,35,15186
1199,"VGEC, Ahmedabad",GOV,Civil Engg.,EW,Home State,103,1852,101,2000
1200,"VGEC, Ahmedabad",GOV,Civil Engg.,OP,Home State,121,958,105,1733
1201,"VGEC, Ahmedabad",GOV,Civil Engg.,SC,Home State,88.5,3095,88.5,3095
1202,"VGEC, Ahmedabad",GOV,Civil Engg.,SE,Home State,105,1748,103,1864
1203,"VGEC, Ahmedabad",GOV,Civil Engg.,ST,Home State,65,6994,55,9768
1204,"VGEC, Ahmedabad",GOV,Civil Engg.,TF,Home State,124.5,832,124.5,832
1205,"VGEC, Ahmedabad",GOV,Computer Engg.,EW,Home State,157.5,133,157.5,133
1206,"VGEC, Ahmedabad",GOV,Computer Engg.,EWPH,Home State,49.5,11434,49.5,11434
1207,"VGEC, Ahmedabad",GOV,Computer Engg.,OP,Home State,165,56,158,126
1208,"VGEC, Ahmedabad",GOV,Computer Engg.,SC,Home State,136,508,132.5,592
1209,"VGEC, Ahmedabad",GOV,Computer Engg.,SE,Home State,157,143,151,215
1210,"VGEC, Ahmedabad",GOV,Computer Engg.,ST,Home State,82,3945,59.5,8566
1211,"VGEC, Ahmedabad",GOV,Computer Engg.,TF,Home State,171.5,27,171.5,27
1212,"VGEC, Ahmedabad",GOV,Electrical Engg.,EW,Home State,113,1299,110.5,1396
1213,"VGEC, Ahmedabad",GOV,Electrical Engg.,OP,Home State,133,583,118,1085
1214,"VGEC, Ahmedabad",GOV,Electrical Engg.,SC,Home State,116,1175,105.5,1701
1215,"VGEC, Ahmedabad",GOV,Electrical Engg.,SE,Home State,114,1257,95.5,2441
1216,"VGEC, Ahmedabad",GOV,Electrical Engg.,ST,Home State,82,3944,72.5,5489
1217,"VGEC, Ahmedabad",GOV,Electrical Engg.,TF,Home State,136,501,136,501
1218,"VGEC, Ahmedabad",GOV,Information Tech.,EW,Home State,157,148,157,148
1219,"VGEC, Ahmedabad",GOV,Information Tech.,OP,Home State,161,93,157.5,135
1220,"VGEC, Ahmedabad",GOV,Information Tech.,SC,Home State,128.5,708,128.5,708
1221,"VGEC, Ahmedabad",GOV,Information Tech.,SE,Home State,148,269,145.5,305
1222,"VGEC, Ahmedabad",GOV,Information Tech.,ST,Home State,71,5746,64,7324
1223,"VGEC, Ahmedabad",GOV,Information Tech.,TF,Home State,161.5,90,161.5,90
1224,"VGEC, Ahmedabad",GOV,Mechanical Engg.,EW,Home State,111,1385,106.5,1656
1225,"VGEC, Ahmedabad",GOV,Mechanical Engg.,OP,Home State,135.5,530,111,1381
1226,"VGEC, Ahmedabad",GOV,Mechanical Engg.,SC,Home State,110.5,1397,100,2114
1227,"VGEC, Ahmedabad",GOV,Mechanical Engg.,SE,Home State,110.5,1415,101.5,1978
1228,"VGEC, Ahmedabad",GOV,Chemical Engg.,EW,Home State,95.5,2445,95.5,2445
1229,"VGEC, Ahmedabad",GOV,Chemical Engg.,OP,Home State,120,1006,101,2023
1230,"VGEC, Ahmedabad",GOV,Chemical Engg.,SC,Home State,82,3912,82,3912
1231,"VGEC, Ahmedabad",GOV,Chemical Engg.,SE,Home State,100,2095,89.5,3027
1232,"VGEC, Ahmedabad",GOV,CSE (Data Science),EW,Home State,152,198,150,228
1233,"VGEC, Ahmedabad",GOV,CSE (Data Science),OP,Home State,157.5,137,152,195
1234,"VGEC, Ahmedabad",GOV,CSE (Data Science),SC,Home State,136,511,136,511
1235,"VGEC, Ahmedabad",GOV,CSE (Data Science),SE,Home State,147,280,141,390
1236,"VGEC, Ahmedabad",GOV,CSE (Data Science),ST,Home State,90.5,2914,62.5,7708
1237,"VGEC, Ahmedabad",GOV,Power Electronics,OP,Home State,71.5,5657,53,10308
1238,"VGEC, Ahmedabad",GOV,Power Electronics,TF,Home State,67.5,6422,67.5,6422
1239,"VGEC, Ahmedabad",GOV,EC Engg.,EW,Home State,80.5,4090,75.5,4866
1240,"VGEC, Ahmedabad",GOV,EC Engg.,OP,Home State,128.5,704,89,3057
1241,"VGEC, Ahmedabad",GOV,EC Engg.,SE,Home State,86.5,3328,60,8488
1242,"VGEC, Ahmedabad",GOV,Information & Communication Tech.,EW,Home State,141.5,371,141.5,380
1243,"VGEC, Ahmedabad",GOV,Information & Communication Tech.,OP,Home State,151.5,206,142,363
1244,"VGEC, Ahmedabad",GOV,Information & Communication Tech.,SC,Home State,109.5,1460,109.5,1460
1245,"VGEC, Ahmedabad",GOV,Information & Communication Tech.,SE,Home State,135.5,528,126.5,766
1246,"VGEC, Ahmedabad",GOV,Information & Communication Tech.,ST,Home State,53.5,10199,53.5,10199
1247,"VGEC, Ahmedabad",GOV,Instrumentation & Control Engg.,EW,Home State,51,10937,40.5,13967
1248,"VGEC, Ahmedabad",GOV,Instrumentation & Control Engg.,OP,Home State,83.5,3734,57.5,9114
1249,"VGEC, Ahmedabad",GOV,Instrumentation & Control Engg.,SC,Home State,50,11382,50,11382
1250,"VGEC, Ahmedabad",GOV,Instrumentation & Control Engg.,SE,Home State,48,11773,30,16032
1251,"VGEC, Ahmedabad",GOV,Electronics & Instru. Engg.,OP,Home State,70.5,5829,32.5,15749
1252,"VGEC, Ahmedabad",GOV,Computer Engg.,OP,All India,106.5,1639,106.5,1639
1253,"VGEC, Ahmedabad",GOV,Electrical Engg.,OP,All India,90.5,2901,90.5,2901
1254,"VGEC, Ahmedabad",GOV,Chemical Engg.,OP,All India,150.5,220,150.5,220
1255,"VGEC, Ahmedabad",GOV,Power Electronics,OP,All India,85.5,3436,46.5,12307
1256,"VGEC, Ahmedabad",GOV,EC Engg.,OP,All India,115,1215,115,1215
1257,"VGEC, Ahmedabad",GOV,Information & Communication Tech.,OP,All India,62.5,7808,62.5,7808
1258,"Vidhyadeep, Kim",SFI,Civil Engg.,OP,Home State,75,4985,75,4985
1259,"Vidhyadeep, Kim",SFI,Computer Engg.,OP,Home State,50,11173,45,12630
1260,"Vidhyadeep, Kim",SFI,Computer Engg.,TF,Home State,97.5,2289,97.5,2289
1261,"Vidhyadeep, Kim",SFI,Information Tech.,OP,Home State,65,7049,65,7049
1262,"Vidhyadeep, Kim",SFI,Information Tech.,TF,Home State,120.5,973,120.5,973
1263,"Vidhyadeep, Kim",SFI,Computer Engg. (Cloud Tech. & Info. Security),TF,Home State,65.5,6953,65.5,6953
1264,"VIE, Kotambi",SFI,Civil Engg.,OP,Home State,47.5,11953,47.5,11953
1265,"VIE, Kotambi",SFI,Computer Engg.,OP,Home State,90,2970,47,12210
1266,"VIE, Kotambi",SFI,Electrical Engg.,OP,Home State,37.5,14771,33.5,15480
1267,"VIE, Kotambi",SFI,Electrical Engg.,TF,Home State,50,11282,50,11282
1268,"VIE, Kotambi",SFI,Information Tech.,OP,Home State,68,6417,68,6417
1269,"VRGCET, Porbandar",SFI,Civil Engg.,OP,Home State,77,4710,77,4710
1270,"VRGCET, Porbandar",SFI,Computer Engg.,OP,Home State,92.5,2721,51,10884
1271,"VRGCET, Porbandar",SFI,Mechanical Engg.,OP,Home State,88.5,3136,30,16089
1272,"VSITR, Kadi",SFI,Computer Engg.,OP,Home State,88,3170,35.5,15124
1273,"VSITR, Kadi",SFI,Information Tech.,OP,Home State,65.5,6952,22.5,16774
1274,"VSITR, Kadi",SFI,Information Tech.,TF,Home State,106.5,1649,106.5,1649
1275,"VSITR, Kadi",SFI,Computer Science & Engg,OP,Home State,94,2572,94,2572
1276,"VVP, Rajkot",SFI,Civil Engg.,OP,Home State,108,1566,57.5,9222
1277,"VVP, Rajkot",SFI,Civil Engg.,TF,Home State,114,1263,114,1263
1278,"VVP, Rajkot",SFI,Computer Engg.,EW,Home State,101.5,1959,99.5,2162
1279,"VVP, Rajkot",SFI,Computer Engg.,EX,Home State,63,7575,63,7575
1280,"VVP, Rajkot",SFI,Computer Engg.,OP,Home State,124,845,104,1816
1281,"VVP, Rajkot",SFI,Computer Engg.,SC,Home State,71,5769,71,5769
1282,"VVP, Rajkot",SFI,Computer Engg.,SE,Home State,115,1228,89,3049
1283,"VVP, Rajkot",SFI,Computer Engg.,TF,Home State,164,61,164,61
1284,"VVP, Rajkot",SFI,Electrical Engg.,OP,Home State,105,1723,42,13568
1285,"VVP, Rajkot",SFI,Electrical Engg.,TF,Home State,132.5,601,132.5,601
1286,"VVP, Rajkot",SFI,Information Tech.,EW,Home State,98.5,2219,82,3904
1287,"VVP, Rajkot",SFI,Information Tech.,OP,Home State,127,748,84.5,3596
1288,"VVP, Rajkot",SFI,Information Tech.,SE,Home State,85,3546,57.5,9165
1289,"VVP, Rajkot",SFI,Information Tech.,TF,Home State,144.5,320,144.5,320
1290,"VVP, Rajkot",SFI,Mechanical Engg.,OP,Home State,102.5,1900,38.5,14453
1291,"VVP, Rajkot",SFI,Chemical Engg.,OP,Home State,95,2506,88.5,3106
